id_mun,combate_hambre,combate_hambre_y_leche,beneficiarios,mun,porcentaje_pea,poblacion_pea,porc_programa_hambre,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
12052,4247,4284,4522,San Luis Acatlán,43.83407,19892,0.93918622,0.21350291,0.22732757,0.21536297
12053,5323,5453,5852,San Marcos,32.74104,17521,0.90960354,0.30380687,0.33399919,0.31122652
12054,2797,2833,3069,San Miguel Totolapan,39.08738,10464,0.91137177,0.26729739,0.29329127,0.27073777
12055,7307,7489,8280,Taxco de Alarcón,12.87396,15669,0.88248789,0.46633479,0.52843195,0.4779501
12056,3781,3870,4166,Tecoanapa,36.37837,16829,0.9075852,0.22467169,0.24754888,0.22996019
12057,4458,4562,5054,Técpan de Galeana,20.70797,13493,0.88207358,0.33039352,0.37456459,0.33810124
12058,4354,4440,4811,Teloloapan,21.97258,11189,0.90500933,0.38913217,0.42997587,0.39681831
12059,2719,2752,3005,Tepecoacuilco de Trujano,20.13128,6148,0.90482527,0.44225764,0.48877683,0.44762525
12060,1436,1469,1649,Tetipac,22.82407,3645,0.87083083,0.39396432,0.45240054,0.40301782
12061,1871,1946,2280,Tixtla de Guerrero,29.55997,11854,0.82061404,0.15783702,0.19234014,0.16416399
12062,2482,2494,2670,Tlacoachistlahuaca,48.94066,9760,0.92958802,0.25430328,0.27356556,0.2555328
12063,1081,1092,1159,Tlacoapa,39.99308,3207,0.93270057,0.33707514,0.36139694,0.34050515
12064,689,689,835,Tlalchapa,18.14294,2265,0.82514971,0.30419427,0.36865342,0.30419427
12065,482,502,575,Tlalixtaquilla de Maldonado,34.4997,2659,0.83826089,0.18127115,0.21624671,0.18879278
12066,8082,8189,8833,Tlapa de Comonfort,32.1032,26743,0.91497791,0.30220991,0.33029205,0.30621096
12067,1648,1698,1930,Tlapehuala,22.85353,5295,0.85388601,0.31123701,0.3644948,0.32067987
12068,2786,2864,3090,La Unión de Isidoro Montes de Oca,22.68595,5429,0.90161812,0.51317,0.56916559,0.52753729
