id_mun,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
14039,0.82247615,0.93188947,0.84761256
14040,0.26072875,0.30769232,0.26639676
14041,0.89108908,0.96699673,0.90759075
14042,0.47225806,0.69290322,0.50709677
14043,0.95094341,1.2483019,0.9871698
14044,0.65778315,0.7189582,0.67898244
14045,0.19366755,0.20633246,0.19366755
14046,0.04512234,0.062281538,0.04512234
14047,0.25919282,0.3883408,0.28878924
14048,0.2208498,0.24851778,0.22134387
14049,0.14818181,0.20954545,0.14909092
14050,1.1422803,1.1952494,1.1467934
14051,0.54529619,0.67073172,0.5662021
14052,1.9085715,2.24,1.9085715
14053,0.16648057,0.2627289,0.17664136
14054,1.2191781,1.4246576,1.2191781
14055,0.2981419,0.42652026,0.3285473
14056,0.073324904,0.079646021,0.073324904
14057,0.3275862,0.4224138,0.3275862
14058,0.5684039,0.71172637,0.57328993
14059,0.65803814,0.7425068,0.65803814
14060,0.73665482,0.797153,0.73665482
14061,1.3806118,1.6729157,1.402812
14062,0.21405751,0.25878593,0.21405751
14063,1.5896391,1.7302096,1.612922
14064,0.2355863,0.2866773,0.23824729
14065,1.1605166,1.3173431,1.1752768
14066,0.25734967,0.32438752,0.26269487
14067,0.13021092,0.32768643,0.25062281
14068,0.33182845,0.39954853,0.34029347
14069,0.13317756,0.15498443,0.13317756
14070,0.38304514,0.57925069,0.48270893
14071,0.47368422,0.69298244,0.47660819
14072,0.91961414,0.95819938,0.91961414
14073,0.084875397,0.1041204,0.085122131
14074,0.5151515,0.59649122,0.5151515
14075,0.3392857,0.40625,0.3392857
14076,0.66363639,0.73636365,0.68181819
14077,0.84889823,0.95278066,0.84994751
14078,0.081857219,0.08883521,0.081857219
14079,0.21372329,0.38807648,0.23284589
14080,0.63250881,0.80918729,0.63604242
14081,0.69780219,0.80219781,0.70329672
14082,0.38621795,0.47916666,0.39182693
14083,0.66155368,0.75507176,0.67936665
14084,0.24836245,0.2701965,0.25109169
14085,0.55393052,0.62949419,0.55819625
14086,0.23976293,0.27478448,0.24784483
14087,0.17080885,0.21373701,0.18843199
14088,0.703107,0.76179516,0.703107
14089,0.14201184,0.17159763,0.147929
14090,1.2946428,1.5386904,1.2946428
14091,0.090147182,0.11508586,0.090147182
14092,0.40692639,0.44733045,0.42135641
14093,0.2103015,0.26055276,0.2103015
14094,0.42697001,0.51005608,0.43818003
14095,0.41483516,0.52197802,0.43131867
14096,0.23266079,0.27049181,0.23959647
14097,1.2268294,1.339197,1.2659009
14098,0.87256259,1.0044687,0.91789895
14099,0.65384614,0.80384618,0.67179489
14100,0.32171404,0.39675844,0.32282415
14101,0.8982659,1.0167148,0.93025047
14102,0.83703703,1.0962963,0.86666667
14103,0.6340782,0.72346371,0.63966483
14104,0.30769232,0.63384616,0.38153845
14105,0.48363096,0.54315478,0.48363096
14106,1.2489626,1.4481328,1.2572614
14107,0.7588076,0.79132789,0.7588076
14108,0.17196785,0.24536875,0.18210416
14109,0.26973388,0.31303564,0.26973388
14110,1.0450281,1.6829268,1.1181989
14111,0.48444444,0.9066667,0.48444444
14112,0.35357916,0.42950109,0.35357916
14113,0.67447919,0.78515625,0.69010419
14114,0.74888557,1.0118871,0.74888557
14115,0.50157231,0.6163522,0.51572329
14116,0.20331325,0.31024095,0.20331325
14117,0.35795453,0.40340909,0.35795453
14118,0.11458334,0.13237847,0.11458334
14119,0.22610722,0.31779331,0.22843823
14120,1.0167857,1.2493651,1.0930159
14121,0.30567685,0.50509459,0.35080057
14122,0.13460356,0.19729564,0.14320835
14123,0.39375475,0.47524753,0.39375475
14124,0.24640729,0.32299334,0.26218015
14125,0.0017286085,0.0017286085,0.0017286085
15001,0.48641685,0.61304569,0.50725174
15002,0.11386727,0.31257421,0.24238026
15003,0.23260275,0.31178081,0.24082191
15004,0.27238455,0.35061264,0.2931197
15005,0.46361503,0.56285864,0.47157016
15006,0.36494252,0.40804598,0.38218391
15007,0.11510997,0.21165381,0.13253357
15008,0.21958812,0.35249043,0.25143677
15009,0.37827966,0.48389238,0.39222848
15010,0.40248796,0.47552168,0.43780097
15011,0.17115903,0.31170583,0.2148633
15012,0.054937415,0.068150207,0.059109874
15013,0.41983098,0.48285919,0.4437567
15014,0.16884144,0.3514235,0.20601028
15015,0.48494813,0.54895014,0.51302809
15016,0.35587046,0.51417005,0.39919028
15017,0.22238372,0.32267442,0.26744187
15018,0.18602008,0.22561091,0.2083728
15019,0.19913834,0.25753948,0.22498803
15020,0.079878487,0.28180844,0.22694781
15021,0.16744375,0.22886682,0.18305291
15022,0.30050933,0.3548387,0.31918505
15023,0.10391363,0.11650922,0.1120108
15024,0.10883774,0.15714692,0.13327649
15025,0.5941813,0.76037329,0.67256713
15026,0.27211213,0.33736104,0.28830352
15027,0.17565218,0.57739133,0.33739132
15028,0.14235501,0.23315759,0.17047451
15029,0.26247376,0.35354432,0.31519458
15030,0.15838733,0.30597553,0.20950323
15031,0.25749171,0.3350026,0.28941384
15032,0.13298282,0.19376764,0.14401129
15033,0.13098222,0.1784189,0.15905127
15034,0.076813653,0.084637269,0.079658605
15035,0.24769768,0.40870118,0.33756748
15036,0.23267688,0.37053245,0.28956965
15037,0.19895785,0.32136428,0.26612979
15038,0.41854936,0.51961952,0.43519619
15039,0.70008153,0.78061074,0.72832048
15040,0.19799069,0.2509189,0.20852733
15041,0.66666669,0.93383741,0.71770638
15042,0.2216422,0.27199566,0.22552112
15043,0.15196358,0.17558338,0.16163915
15044,0.28345209,0.33016628,0.30799684
15045,0.24776605,0.31811535,0.26263201
15046,0.42589819,0.5254491,0.44910181
15047,0.29627278,0.37803331,0.31387788
15048,0.14709517,0.35599506,0.2191418
15049,0.082324453,0.12106538,0.088781275
15050,0.85008663,0.93327558,0.87868285
15051,0.09750697,0.25274727,0.15031983
15052,0.062712587,0.092687078,0.075255103
15053,0.1421092,0.18224882,0.16055846
15054,0.22406691,0.48346025,0.31768817
15055,0.93693691,1.0855856,0.97747749
15056,0.1446778,0.29815114,0.17555197
15057,0.34710947,0.44142067,0.39760149
15058,0.26451761,0.32440874,0.29679176
15059,0.16883864,0.19164431,0.17899579
15060,0.44522229,0.51402134,0.48139209
15061,0.77664977,1.4653131,0.96615905
15062,0.48349008,0.58395034,0.50990593
15063,0.078649729,0.16895771,0.096746132
15064,0.24837196,0.35256702,0.27548084
15065,0.15916446,0.23124449,0.18446602
15066,0.13956171,0.22837371,0.14994232
15067,0.19787747,0.41003376,0.26251808
15068,0.16841736,0.20238096,0.18767507
15069,0.30000001,0.45263159,0.3631579
15070,1.0203999,1.1281036,1.0718695
15071,0.11433597,0.15479332,0.12049253
15072,0.13268608,0.24811219,0.18230852
15073,0.11147541,0.22754098,0.16131148
